SourcePort,DestinationPort,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
443,54978,0.01,4866,486599.95134000486,162,16199.998380000163,338415.28888888896,581.7347238122278,502.8,502.8,695.1428571428571,0.0,0.0,1.1569903019313261,8.861111111111112,2.976761849915292,1.1111111111111114,1.1111111111111114,1.6666666666666667,0.0,0.0,2.679085662512585,32.00000000000001,5.656854249492381,0.005,0.005,0.005,0.0,0.0,1.131370849672202,False
50882,443,0.045,108,2399.999946666668,54,1199.999973333334,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,1012.5000000000001,31.81980515339464,22.5,22.5,45.0,0.0,0.0,1.4142135623102412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
50509,443,0.102,108,1058.823519031142,54,529.411759515571,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,5202.0,72.12489168102785,51.0,51.0,102.0,0.0,0.0,1.4142135623453655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
443,54980,0.0,1675,1675000000000.0,54,54000000000.0,291401.7,539.8163576624925,345.8,345.8,418.75,0.0,0.0,1.561065233258911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
443,54979,0.001,5813,5812994.187005813,108,107999.89200010801,317152.7666666668,563.1631794308527,592.1,592.1,726.625,0.0,0.0,0.9511284908459745,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1428571428571428,0.0,0.0,2.9999999730000004,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,False
51132,443,0.128,1151,8992.187429748536,335,2617.1874795532226,120225.2380952381,346.735112290691,212.2857142857143,212.2857142857143,383.6666666666666,0.0,0.0,1.63334171334011,1175.0666666666664,34.27924542148888,21.33333333333333,21.33333333333333,56.0,0.0,0.0,1.606839629056971,2470.3333333333335,49.702447961175245,0.037666666666666654,0.037666666666666654,0.037666666666666654,0.0,0.0,1.319534016633338,True
27036,27036,4.848,212,43.72937292827365,217,44.76072606337444,12.500000000000002,3.5355339059327378,214.5,214.5,212.0,0.0,0.0,0.016482675552057135,0.0,0.0,4848.0,4848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,211,211000000000.0,0,0.0,0.0,0.0,211.0,211.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0,0,8.493,172,20.25197221002567,0,0.0,0.0,0.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,8493.0,8493.0,8493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
64571,8009,10.151,654,64.42715002813249,732,72.11112204983635,3074.9230769230767,55.4519889356827,106.6153846153846,106.6153846153846,109.0,0.0,0.0,0.5201124503298079,3688853.174242425,1920.6387412114816,845.9166666666667,845.9166666666667,2030.2,0.0,0.0,2.270482208108613,6689377.1000000015,2586.383014945776,1.6745,1.6745,1.6745,0.0,0.0,1.5445703284229508,False
64570,8009,10.115,675,66.73257537649702,513,50.71675728613774,3422.25,58.5,132.0,132.0,112.5,0.0,0.0,0.4431818181784608,5217290.839285715,2284.1389710973617,1264.3749999999998,1264.3749999999998,2023.0,0.0,0.0,1.806536012730049,2.0000000000000004,1.4142135623730951,5.025,5.025,5.025,0.0,0.0,0.0002814355348005599,False
54982,443,0.194,4888,25195.876158784144,1506,7762.886557923265,228297.7166666666,477.8051032237586,399.625,399.625,444.3636363636364,0.0,0.0,1.1956336646169858,596.495238095238,24.42325199671899,12.933333333333332,12.933333333333332,19.4,0.0,0.0,1.88839577279618,1011.6666666666665,31.806707887907333,0.0465,0.0465,0.0465,0.0,0.0,0.6840152233811466,True
7680,54276,0.0,54,54000000000.0,0,0.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,208,208000000000.0,0,0.0,0.0,0.0,208.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,251,250999999999.99997,0,0.0,0.0,0.0,251.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,219,219000000000.0,0,0.0,0.0,0.0,219.0,219.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,212,212000000000.0,0,0.0,0.0,0.0,212.0,212.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,217,217000000000.0,0,0.0,0.0,0.0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
59071,53,0.003,89,29666.656777781074,153,50999.98300000567,2048.0000000000005,45.254833995939045,121.0,121.0,89.0,0.0,0.0,0.37400689252533087,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
54983,443,1.189,6910,5811.606387038178,27609,23220.353218485823,245581.6674685911,495.5619713704746,396.7701149425287,396.7701149425287,191.94444444444443,0.0,0.0,1.248990165101035,1510.1927496580022,38.86119851031363,13.82558139534884,13.82558139534884,33.97142857142857,0.0,0.0,2.8108183949917924,3294.901632653061,57.40123372065326,0.022580000000000006,0.022580000000000006,0.022580000000000006,0.0,0.0,2.542127268295444,True
